year,month,tot_cases,tot_deaths
2020,Jan,17,0
2020,Feb,190,0
2020,Mar,78855,1631
2020,Apr,3183725,176291
2020,May,5861324,367445
2020,Jun,8308351,472592
2020,Jul,17280119,695676
2020,Aug,21203882,680456
2020,Sep,25962357,779384
2020,Oct,39788625,1095919
2020,Nov,44209245,1009956
2020,Dec,84653556,1591662
2021,Jan,94585997,1635429
2021,Feb,109886306,1955998
2021,Mar,117235708,2150196
2021,Apr,156318793,2833441
2021,May,131194373,2351785
2021,Jun,133422057,2405142
2021,Jul,170262925,3052487
2021,Aug,147197102,2507374
2021,Sep,207506198,3368483
2021,Oct,179523475,2926066
2021,Nov,188251068,3072800
2021,Dec,253501326,4033810
2022,Jan,263358785,3432829
2022,Feb,310590244,3689496
2022,Mar,398533055,4847166
2022,Apr,322910242,3959341
2022,May,330653508,3999077
2022,Jun,429670026,5047914
2022,Jul,358041783,4083993
2022,Aug,371146672,4135164
2022,Sep,476769279,5242548
2022,Oct,387457035,4247319
2022,Nov,391878846,4288174
2022,Dec,498322721,5416781
2023,Jan,406465332,4391025
2023,Feb,411267166,4445942
2023,Mar,518960347,5608096
2023,Apr,417625113,4515808
