year,month,state_and_area,tot_employed,percent_of_population,tot_unemployed,unemployment_Rate
2018,Jan,Alabama,"2,127,128",54.5,"88,075",4
2018,Jan,Alaska,"334,382",61.2,"22,836",6.4
2018,Jan,Arizona,"3,113,945",57.8,"159,220",4.9
2018,Jan,Arkansas,"1,290,307",55.7,"51,014",3.8
2018,Jan,California,"18,352,744",59.4,"844,210",4.4
2018,Jan,Los Angeles County,"4,875,532",60.3,"238,193",4.7
2018,Jan,Colorado,"2,929,572",66.3,"87,067",2.9
2018,Jan,Connecticut,"1,828,277",62.9,"79,987",4.2
2018,Jan,Delaware,"458,437",59.6,"19,619",4.1
2018,Jan,District of Columbia,"371,856",66.4,"23,160",5.9
2018,Jan,Florida,"9,640,036",56.8,"395,659",3.9
2018,Jan,Georgia,"4,906,159",60.9,"220,321",4.3
2018,Jan,Hawaii,"678,079",60.4,"14,210",2.1
2018,Jan,Idaho,"826,410",62.1,"25,600",3
2018,Jan,Illinois,"6,255,518",61.7,"299,294",4.6
2018,Jan,Indiana,"3,245,200",62.3,"110,294",3.3
2018,Jan,Iowa,"1,647,790",66.7,"47,198",2.8
2018,Jan,Kansas,"1,435,898",64.4,"51,673",3.5
2018,Jan,Kentucky,"1,960,863",56.1,"86,917",4.2
2018,Jan,Louisiana,"2,009,808",56,"98,776",4.7
2018,Jan,Maine,"677,440",61,"21,422",3.1
2018,Jan,Maryland,"3,124,028",64.9,"132,961",4.1
2018,Jan,Massachusetts,"3,629,779",63.9,"139,685",3.7
2018,Jan,Michigan,"4,703,938",58.7,"222,742",4.5
2018,Jan,Minnesota,"2,973,054",67.5,"95,722",3.1
2018,Jan,Mississippi,"1,205,088",52.8,"61,845",4.9
2018,Jan,Missouri,"2,938,508",61.4,"108,267",3.6
2018,Jan,Montana,"509,909",60.6,"21,004",4
2018,Jan,Nebraska,"998,353",67.5,"30,091",2.9
2018,Jan,Nevada,"1,400,476",60,"69,303",4.7
2018,Jan,New Hampshire,"741,741",66.4,"20,927",2.7
2018,Jan,New Jersey,"4,385,453",60.1,"204,144",4.4
2018,Jan,New Mexico,"891,233",54.6,"49,052",5.2
2018,Jan,New York,"9,361,939",57.8,"440,780",4.5
2018,Jan,New York city,"4,088,835",57.6,"183,759",4.3
2018,Jan,North Carolina,"4,677,874",58.6,"205,836",4.2
2018,Jan,North Dakota,"402,303",68.3,"10,891",2.6
2018,Jan,Ohio,"5,532,766",59.8,"264,864",4.6
2018,Jan,Oklahoma,"1,765,707",59,"68,058",3.7
2018,Jan,Oregon,"1,995,726",59.6,"84,963",4.1
2018,Jan,Pennsylvania,"6,163,215",59.4,"311,198",4.8
2018,Jan,Rhode Island,"545,021",61.6,"25,450",4.5
2018,Jan,South Carolina,"2,173,906",55.4,"87,385",3.9
2018,Jan,South Dakota,"443,805",67.1,"13,560",3
2018,Jan,Tennessee,"3,107,251",58.4,"113,406",3.5
2018,Jan,Texas,"13,048,165",61.2,"551,375",4.1
2018,Jan,Utah,"1,522,153",66.5,"47,646",3
2018,Jan,Vermont,"345,110",65.2,"9,869",2.8
2018,Jan,Virginia,"4,202,231",63.2,"147,028",3.4
2018,Jan,Washington,"3,591,980",60.8,"173,126",4.6
2018,Jan,West Virginia,"746,031",51,"42,473",5.4
2018,Jan,Wisconsin,"3,038,413",65.6,"92,232",2.9
2018,Jan,Wyoming,"280,000",62.9,"12,323",4.2
2018,Feb,Alabama,"2,132,739",54.6,"88,440",4
2018,Feb,Alaska,"334,378",61.2,"22,475",6.3
2018,Feb,Arizona,"3,124,522",57.9,"158,351",4.8
2018,Feb,Arkansas,"1,290,847",55.7,"50,729",3.8
2018,Feb,California,"18,384,599",59.5,"834,737",4.3
2018,Feb,Los Angeles County,"4,879,879",60.4,"237,838",4.6
2018,Feb,Colorado,"2,938,179",66.4,"87,708",2.9
2018,Feb,Connecticut,"1,831,795",63,"78,904",4.1
2018,Feb,Delaware,"459,718",59.7,"19,240",4
2018,Feb,District of Columbia,"372,775",66.5,"23,113",5.8
2018,Feb,Florida,"9,665,775",56.9,"390,618",3.9
2018,Feb,Georgia,"4,912,063",61,"216,594",4.2
2018,Feb,Hawaii,"678,860",60.4,"14,678",2.1
2018,Feb,Idaho,"828,831",62.1,"25,090",2.9
2018,Feb,Illinois,"6,263,513",61.8,"292,204",4.5
2018,Feb,Indiana,"3,256,495",62.5,"110,636",3.3
2018,Feb,Iowa,"1,652,673",66.9,"46,122",2.7
2018,Feb,Kansas,"1,437,973",64.4,"51,217",3.4
2018,Feb,Kentucky,"1,963,395",56.1,"86,498",4.2
2018,Feb,Louisiana,"2,012,358",56.1,"100,171",4.7
2018,Feb,Maine,"678,283",61.1,"21,082",3
2018,Feb,Maryland,"3,128,359",65,"131,063",4
2018,Feb,Massachusetts,"3,645,163",64.2,"138,745",3.7
2018,Feb,Michigan,"4,714,905",58.8,"216,774",4.4
2018,Feb,Minnesota,"2,976,090",67.6,"94,189",3.1
2018,Feb,Mississippi,"1,206,065",52.9,"61,974",4.9
2018,Feb,Missouri,"2,942,099",61.5,"106,474",3.5
2018,Feb,Montana,"511,006",60.7,"20,676",3.9
2018,Feb,Nebraska,"1,000,270",67.6,"29,897",2.9
2018,Feb,Nevada,"1,406,385",60.1,"68,439",4.6
2018,Feb,New Hampshire,"743,898",66.6,"20,820",2.7
2018,Feb,New Jersey,"4,391,311",60.2,"200,077",4.4
2018,Feb,New Mexico,"893,378",54.8,"47,676",5.1
2018,Feb,New York,"9,372,373",57.8,"431,600",4.4
2018,Feb,New York city,"4,089,884",57.6,"181,444",4.2
2018,Feb,North Carolina,"4,687,688",58.6,"201,538",4.1
2018,Feb,North Dakota,"402,540",68.3,"10,797",2.6
2018,Feb,Ohio,"5,536,066",59.8,"264,187",4.6
2018,Feb,Oklahoma,"1,768,867",59.1,"66,498",3.6
2018,Feb,Oregon,"1,996,370",59.5,"83,853",4
2018,Feb,Pennsylvania,"6,174,626",59.5,"306,091",4.7
2018,Feb,Rhode Island,"546,431",61.7,"24,920",4.4
2018,Feb,South Carolina,"2,179,771",55.5,"82,827",3.7
2018,Feb,South Dakota,"444,447",67.2,"13,433",2.9
2018,Feb,Tennessee,"3,114,203",58.5,"113,999",3.5
2018,Feb,Texas,"13,081,962",61.3,"551,469",4
2018,Feb,Utah,"1,525,703",66.5,"47,263",3
2018,Feb,Vermont,"345,619",65.3,"9,678",2.7
2018,Feb,Virginia,"4,211,373",63.3,"144,172",3.3
2018,Feb,Washington,"3,602,069",60.9,"171,874",4.6
2018,Feb,West Virginia,"747,400",51.1,"42,470",5.4
2018,Feb,Wisconsin,"3,039,863",65.6,"91,739",2.9
2018,Feb,Wyoming,"280,213",62.9,"12,139",4.2
2018,Mar,Alabama,"2,139,159",54.8,"88,903",4
2018,Mar,Alaska,"334,582",61.3,"22,075",6.2
2018,Mar,Arizona,"3,136,405",58,"156,976",4.8
2018,Mar,Arkansas,"1,292,063",55.7,"50,183",3.7
2018,Mar,California,"18,424,514",59.6,"826,268",4.3
2018,Mar,Los Angeles County,"4,886,312",60.5,"237,268",4.6
2018,Mar,Colorado,"2,947,535",66.5,"88,829",2.9
2018,Mar,Connecticut,"1,836,742",63.2,"77,726",4.1
2018,Mar,Delaware,"461,238",59.9,"18,844",3.9
2018,Mar,District of Columbia,"373,837",66.7,"23,049",5.8
2018,Mar,Florida,"9,692,793",57,"385,489",3.8
2018,Mar,Georgia,"4,920,102",61,"212,964",4.1
2018,Mar,Hawaii,"679,731",60.5,"15,143",2.2
2018,Mar,Idaho,"831,543",62.2,"24,616",2.9
2018,Mar,Illinois,"6,271,420",61.9,"286,440",4.4
2018,Mar,Indiana,"3,269,097",62.7,"112,090",3.3
2018,Mar,Iowa,"1,658,815",67.1,"45,041",2.6
2018,Mar,Kansas,"1,440,755",64.6,"50,761",3.4
2018,Mar,Kentucky,"1,966,889",56.2,"86,454",4.2
2018,Mar,Louisiana,"2,014,483",56.2,"102,021",4.8
2018,Mar,Maine,"679,393",61.2,"21,072",3
2018,Mar,Maryland,"3,134,621",65.1,"128,984",4
2018,Mar,Massachusetts,"3,661,664",64.4,"137,802",3.6
2018,Mar,Michigan,"4,727,685",58.9,"210,816",4.3
2018,Mar,Minnesota,"2,979,960",67.6,"92,605",3
2018,Mar,Mississippi,"1,207,828",53,"62,084",4.9
2018,Mar,Missouri,"2,946,937",61.6,"103,952",3.4
2018,Mar,Montana,"512,377",60.8,"20,372",3.8
2018,Mar,Nebraska,"1,002,615",67.7,"29,701",2.9
2018,Mar,Nevada,"1,412,917",60.3,"67,379",4.6
2018,Mar,New Hampshire,"746,413",66.8,"20,772",2.7
2018,Mar,New Jersey,"4,400,669",60.3,"196,498",4.3
2018,Mar,New Mexico,"895,868",54.9,"46,422",4.9
2018,Mar,New York,"9,391,095",58,"421,618",4.3
2018,Mar,New York city,"4,092,876",57.6,"179,059",4.2
2018,Mar,North Carolina,"4,700,339",58.7,"197,676",4
2018,Mar,North Dakota,"402,846",68.4,"10,572",2.6
2018,Mar,Ohio,"5,543,916",59.9,"264,629",4.6
2018,Mar,Oklahoma,"1,772,089",59.2,"64,645",3.5
2018,Mar,Oregon,"1,997,382",59.5,"82,612",4
2018,Mar,Pennsylvania,"6,189,807",59.6,"299,718",4.6
2018,Mar,Rhode Island,"548,147",61.9,"24,271",4.2
2018,Mar,South Carolina,"2,187,356",55.6,"78,516",3.5
2018,Mar,South Dakota,"445,415",67.3,"13,274",2.9
2018,Mar,Tennessee,"3,123,754",58.7,"114,076",3.5
2018,Mar,Texas,"13,119,215",61.5,"550,113",4
2018,Mar,Utah,"1,529,817",66.6,"46,902",3
2018,Mar,Vermont,"346,233",65.4,"9,426",2.7
2018,Mar,Virginia,"4,222,034",63.4,"139,924",3.2
2018,Mar,Washington,"3,614,503",61.1,"170,102",4.5
2018,Mar,West Virginia,"749,438",51.3,"42,299",5.3
2018,Mar,Wisconsin,"3,041,219",65.6,"92,311",2.9
2018,Mar,Wyoming,"280,586",63,"11,963",4.1
2018,Apr,Alabama,"2,144,935",54.9,"89,251",4
2018,Apr,Alaska,"334,807",61.3,"21,669",6.1
2018,Apr,Arizona,"3,147,822",58.2,"155,454",4.7
2018,Apr,Arkansas,"1,293,298",55.8,"49,350",3.7
2018,Apr,California,"18,461,288",59.7,"817,547",4.2
2018,Apr,Los Angeles County,"4,891,425",60.5,"236,242",4.6
2018,Apr,Colorado,"2,955,661",66.6,"90,421",3
2018,Apr,Connecticut,"1,842,175",63.3,"76,469",4
2018,Apr,Delaware,"462,460",60,"18,447",3.8
2018,Apr,District of Columbia,"374,476",66.7,"22,901",5.8
2018,Apr,Florida,"9,718,126",57.1,"379,715",3.8
2018,Apr,Georgia,"4,926,847",61,"209,168",4.1
2018,Apr,Hawaii,"680,222",60.5,"15,547",2.2
2018,Apr,Idaho,"834,116",62.3,"24,219",2.8
2018,Apr,Illinois,"6,276,908",61.9,"281,853",4.3
2018,Apr,Indiana,"3,280,254",62.9,"113,775",3.4
2018,Apr,Iowa,"1,664,626",67.3,"43,974",2.6
2018,Apr,Kansas,"1,443,318",64.7,"50,208",3.4
2018,Apr,Kentucky,"1,969,875",56.3,"86,559",4.2
2018,Apr,Louisiana,"2,014,911",56.2,"103,568",4.9
2018,Apr,Maine,"680,261",61.2,"21,352",3
2018,Apr,Maryland,"3,140,413",65.2,"127,041",3.9
